v,w,t
1.2405371867215693,-0.02739202783574972,1579539757.1676216
1.2620707254216454,-0.02872527580421388,1579539757.2181408
1.2836023190359018,-0.030058509884074578,1579539757.268636
1.3051354699390334,-0.031391735129163705,1579539757.3191724
1.3254256398122302,-0.03042217269467877,1579539757.3696432
1.337991486184575,-0.04375453827412671,1579539757.4101484
1.3505583126670087,-0.05708701307706062,1579539757.4606478
1.3631249233742342,-0.07041934622116783,1579539757.5111005
1.375692546483378,-0.08375181199750564,1579539757.5616724
1.3898274970071136,-0.09999281268160641,1579539757.6120546
1.3916597773654134,-0.13902030792566283,1579539757.6625702
1.3934918927440747,-0.1780480317421554,1579539757.7130823
1.3953248319860287,-0.21707530504668204,1579539757.7634957
1.397157795224093,-0.25610261311629995,1579539757.8141053
1.3897619239071943,-0.27804048586995667,1579539757.8646164
1.3852457449440643,-0.29464531744261757,1579539757.915233
1.3807290466276616,-0.3112501549275415,1579539757.9658232
1.3762130552970935,-0.3278549723238494,1579539758.0163074
1.3716965279109623,-0.3444598225305419,1579539758.0667143
1.3517350705430975,-0.33246082924848636,1579539758.117467
1.3474817827018075,-0.29137286433482357,1579539758.1679678
1.3432261914221435,-0.2502846827759435,1579539758.2184646
1.3389726925578727,-0.20919695722694887,1579539758.268906
1.3347191486754968,-0.16810919563158283,1579539758.319542
1.3228719394461863,-0.11296163522715322,1579539758.3600838
1.307360769650365,-0.06460147360412727,1579539758.4106178
1.2918493852770594,-0.01624115788915681,1579539758.4610846
1.2763388399056077,0.032118988347970535,1579539758.511505
1.2608265386867865,0.08047915971533856,1579539758.5622473
1.2493078859773525,0.12144596831774582,1579539758.6128142
1.2252205153501996,0.13914150151865265,1579539758.66328
1.2011352688784147,0.15683716130410683,1579539758.7137728
1.1770499409637243,0.1745328870425063,1579539758.7641184
1.1529659759024284,0.19222886396848482,1579539758.8146846
1.1271116829514047,0.21319622744242717,1579539758.8652086
1.094452871515135,0.22155949349781318,1579539758.9158115
1.0617931822296682,0.22992254887884847,1579539758.966336
1.0291328409183744,0.23828542816659395,1579539759.0169816
0.996473391939649,0.24664840986636502,1579539759.0675366
0.9615882102428853,0.25913223603491126,1579539759.1182027
0.9187201979366474,0.25682971587915365,1579539759.1687076
0.8758506040393391,0.25452684465321146,1579539759.2192397
0.8329804607089178,0.25222386617768006,1579539759.2697906
0.7901088823563229,0.24992063698466555,1579539759.3101604
0.758564513407912,0.22665060988134755,1579539759.3606722
0.7266238700443186,0.20265206178184048,1579539759.411339
0.6946838049741465,0.17865368546370208,1579539759.461734
0.6627451039822039,0.1546554888328967,1579539759.5121262
0.630805599304514,0.13065731689678378,1579539759.56278
0.6084875192144639,0.08884218052485923,1579539759.6133432
0.591469982272259,0.056844236893620184,1579539759.6638455
0.5744529638425009,0.024846666336517775,1579539759.7144535
0.5574361099149188,-0.0071508750905482504,1579539759.7650597
0.5404196860661509,-0.03914855092920225,1579539759.8155966
0.5172499339884753,-0.0597532512908479,1579539759.8659735
0.5010841975762929,-0.06738909617431542,1579539759.9164345
0.48491817409188775,-0.07502488777289056,1579539759.9670439
0.4687515251021031,-0.08266072064016702,1579539760.0175574
0.4525858263734466,-0.09029653722783187,1579539760.0681033
0.4264709717734643,-0.07950946855895899,1579539760.1186087
0.40016014386375365,-0.0690859592220961,1579539760.1692977
0.37384957004157454,-0.05866254586275149,1579539760.2097437
0.3475387600873139,-0.04823908217396812,1579539760.2604907
0.32122797120856,-0.03781557822555297,1579539760.3110929
0.29328084599991283,-0.024362125853159926,1579539760.3615823
0.26009759132617133,-0.020604791470928627,1579539760.4120438
0.22691468812237525,-0.016847531424487746,1579539760.4625778
0.19373153610250982,-0.013090199237293734,1579539760.5132377
0.1605484741477411,-0.009332913315835759,1579539760.563765
0.1322088137475143,-0.014544659272539302,1579539760.6143274
0.10877758732604438,-0.010666118388939784,1579539760.6649551
0.08534654134795383,-0.006787605959662189,1579539760.7154326
0.06191570954223239,-0.0029091352149667044,1579539760.7660584
0.038484418654165464,0.0009694165234700818,1579539760.8165994
0.024151042686050506,-0.011999226117680464,1579539760.8671408
0.018391447626213475,-0.009090339723794656,1579539760.9177582
0.01263181012109987,-0.006181431892900456,1579539760.968361
0.006872261118572151,-0.003272568760291572,1579539761.0189445
0.0011126197198097487,-0.00036365896297512737,1579539761.069486
-0.0011126493529464848,-0.003999719539361817,1579539761.1198952
-0.0009162986115208079,-0.0031512904098148077,1579539761.160281
-0.0007199496947972459,-0.0023028691647129966,1579539761.2107098
-0.0005236011951793446,-0.0014544497219195964,1579539761.261284
-0.00032724995415625785,-0.0006060184336184013,1579539761.3116188
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.3620896
