v_c,w_c,t_c
3.268594264984131,0.08124618232250214,1579387225.73267
3.268594264984131,0.09374558925628662,1579387225.762447
3.2560949325561523,0.11249470710754395,1579387225.803524
3.2810938358306885,0.24998824298381805,1579387225.864559
3.2810938358306885,0.24998824298381805,1579387225.895501
3.2123472690582275,0.36873239278793335,1579387225.972503
3.1873483657836914,0.39998093247413635,1579387226.044345
3.174849033355713,0.3874815106391907,1579387226.074293
3.174849033355713,0.3312341570854187,1579387226.105337
3.1873483657836914,0.3312341570854187,1579387226.136541
3.1873483657836914,0.3312341570854187,1579387226.172407
3.1873483657836914,0.318734735250473,1579387226.212205
3.1873483657836914,0.2999856173992157,1579387226.24245
3.199847936630249,0.2999856173992157,1579387226.284345
3.2123472690582275,0.2812364995479584,1579387226.345151
3.2123472690582275,0.2999856173992157,1579387226.376318
3.2123472690582275,0.26248738169670105,1579387226.452456
3.2123472690582275,0.24998824298381805,1579387226.524042
3.2123472690582275,0.24998824298381805,1579387226.554086
3.1873483657836914,0.23123912513256073,1579387226.585257
3.1873483657836914,0.19374088943004608,1579387226.616036
3.1873483657836914,0.1812414824962616,1579387226.652308
3.2123472690582275,0.09374558925628662,1579387226.692062
3.231096029281616,0.09374558925628662,1579387226.722094
3.199847936630249,0.08124618232250214,1579387226.765021
3.1873483657836914,-0.0,1579387226.825099
3.1873483657836914,-0.0,1579387226.855958
3.1873483657836914,-0.0749964714050293,1579387226.931805
3.2373461723327637,-0.0749964714050293,1579387227.003792
3.2373461723327637,-0.0749964714050293,1579387227.033758
3.231096029281616,-0.08749588578939438,1579387227.064754
3.231096029281616,-0.0749964714050293,1579387227.095979
3.2373461723327637,-0.0749964714050293,1579387227.132894
3.2560949325561523,-0.08749588578939438,1579387227.171683
3.268594264984131,-0.0749964714050293,1579387227.201689
3.268594264984131,-0.08749588578939438,1579387227.274622
3.268594264984131,-0.08749588578939438,1579387227.305599
3.2560949325561523,-0.0749964714050293,1579387227.37278
3.231096029281616,-0.05624708533287048,1579387227.441529
3.293593168258667,-0.0,1579387227.514534
3.293593168258667,-0.0,1579387227.545573
3.312342643737793,0.12499412149190903,1579387227.612723
3.293593168258667,0.2812364995479584,1579387227.681632
3.312342643737793,0.4499785602092743,1579387227.754572
3.312342643737793,0.4687276780605316,1579387227.785372
3.312342643737793,0.5562235713005066,1579387227.853539
3.2560949325561523,0.5562235713005066,1579387227.921286
3.268594264984131,0.5187253355979919,1579387228.011264
3.2810938358306885,0.4687276780605316,1579387228.086074
3.2560949325561523,0.4812270998954773,1579387228.131205
3.2560949325561523,0.4687276780605316,1579387228.16119
3.312342643737793,0.4499785602092743,1579387228.235346
3.33734130859375,0.4687276780605316,1579387228.266128
3.362340211868286,0.5187253355979919,1579387228.333256
3.362340211868286,0.4999762177467346,1579387228.402156
3.362340211868286,0.4187300503253937,1579387228.47498
3.362340211868286,0.43122944235801697,1579387228.506003
3.33734130859375,0.3312341570854187,1579387228.573129
3.3248419761657715,0.318734735250473,1579387228.64198
3.3748395442962646,0.26248738169670105,1579387228.714921
3.3935885429382324,0.24998824298381805,1579387228.746026
3.4685850143432617,0.24998824298381805,1579387228.813052
3.4873340129852295,0.19374088943004608,1579387228.882054
3.499833583831787,0.23123912513256073,1579387228.954922
3.499833583831787,0.23123912513256073,1579387228.985855
3.499833583831787,0.21873971819877625,1579387229.054531
3.5123329162597656,0.1812414824962616,1579387229.121705
3.543581485748291,0.1812414824962616,1579387229.194742
3.5123329162597656,0.19374088943004608,1579387229.225678
3.543581485748291,0.16249236464500427,1579387229.293028
3.524832248687744,0.23123912513256073,1579387229.361571
3.524832248687744,0.21873971819877625,1579387229.434491
3.543581485748291,0.21873971819877625,1579387229.465631
3.606078624725342,0.19374088943004608,1579387229.532641
3.6248276233673096,0.14374324679374695,1579387229.601647
3.6248276233673096,0.11249470710754395,1579387229.674511
3.6248276233673096,0.09374558925628662,1579387229.705354
3.6498265266418457,0.062497060745954514,1579387229.77249
3.637326955795288,-0.0,1579387229.841267
3.6248276233673096,-0.0,1579387229.914235
3.637326955795288,-0.0,1579387229.94516
3.662325859069824,-0.0,1579387230.012455
3.662325859069824,-0.0,1579387230.08112
3.7623209953308105,-0.0,1579387230.154112
3.7435719966888428,-0.0,1579387230.185192
3.7623209953308105,-0.0,1579387230.252343
3.7435719966888428,-0.0,1579387230.321275
3.774820327758789,-0.0,1579387230.394215
3.7623209953308105,-0.0,1579387230.425
3.7310726642608643,-0.0,1579387230.492585
3.7185733318328857,-0.0,1579387230.56085
3.681075096130371,0.11249470710754395,1579387230.633796
3.662325859069824,0.09374558925628662,1579387230.664779
3.6935744285583496,0.062497060745954514,1579387230.732006
3.6935744285583496,0.11249470710754395,1579387230.800884
3.6935744285583496,0.16249236464500427,1579387230.873813
3.6935744285583496,0.1812414824962616,1579387230.904865
3.662325859069824,0.2812364995479584,1579387230.972099
3.681075096130371,0.4187300503253937,1579387231.040833
3.593579053878784,0.5374744534492493,1579387231.130789
3.568580389022827,0.5187253355979919,1579387231.204604
3.593579053878784,0.4812270998954773,1579387231.250524
3.5810797214508057,0.5187253355979919,1579387231.280634
3.568580389022827,0.6062211990356445,1579387231.370393
3.568580389022827,0.5874720811843872,1579387231.445495
3.568580389022827,0.6062211990356445,1579387231.491573
3.568580389022827,0.6062211990356445,1579387231.521617
3.5810797214508057,0.6187206506729126,1579387231.611325
3.5560808181762695,0.6749680042266846,1579387231.686195
3.5123329162597656,0.7374650239944458,1579387231.731367
3.524832248687744,0.7249656319618225,1579387231.761254
3.543581485748291,0.756213903427124,1579387231.851203
3.5123329162597656,0.7874624133110046,1579387231.925128
3.499833583831787,0.806211531162262,1579387231.971658
3.499833583831787,0.7874624133110046,1579387232.001202
3.499833583831787,0.7874624133110046,1579387232.091041
3.4685850143432617,0.8624588847160339,1579387232.165054
3.406087875366211,0.8624588847160339,1579387232.21097
3.3935885429382324,0.8437097668647766,1579387232.241202
3.2810938358306885,0.8624588847160339,1579387232.314981
3.2560949325561523,0.8437097668647766,1579387232.346003
3.0748536586761475,0.8437097668647766,1579387232.413159
2.9561092853546143,0.8249606490135193,1579387232.482003
2.8436148166656494,0.9124565720558167,1579387232.554952
2.831115484237671,0.931205689907074,1579387232.585787
2.718620777130127,0.9437050819396973,1579387232.653062
2.581127166748047,1.0624494552612305,1579387232.721702
2.4311342239379883,1.0811985731124878,1579387232.794738
2.4186348915100098,1.0811985731124878,1579387232.825613
2.312390089035034,1.1499453783035278,1579387232.892915
2.1998953819274902,1.1311962604522705,1579387232.961631
2.106149911880493,1.1499453783035278,1579387233.03453
2.0936503410339355,1.1811939477920532,1579387233.065626
2.037403106689453,1.2311915159225464,1579387233.13272
1.968656301498413,1.2186921834945679,1579387233.201944
1.9124089479446411,1.2999380826950073,1579387233.27451
1.8999096155166626,1.3311865329742432,1579387233.305386
1.8561615943908691,1.3499356508255005,1579387233.372644
1.8561615943908691,1.3811842203140259,1579387233.441314
1.8311628103256226,1.506178379058838,1579387233.514294
1.8311628103256226,1.5186777114868164,1579387233.545194
1.8561615943908691,1.5999239683151245,1579387233.61244
1.8999096155166626,1.5686753988265991,1579387233.686639
1.8749107122421265,1.5186777114868164,1579387233.75417
1.8749107122421265,1.5374268293380737,1579387233.785144
1.8561615943908691,1.5186777114868164,1579387233.852452
1.8874101638793945,1.506178379058838,1579387233.926087
1.8561615943908691,1.5374268293380737,1579387233.994097
1.8561615943908691,1.5686753988265991,1579387234.025235
1.8561615943908691,1.6186730861663818,1579387234.09228
1.8499119281768799,1.6561713218688965,1579387234.16599
1.8561615943908691,1.7624160051345825,1579387234.233982
1.8499119281768799,1.793664574623108,1579387234.264861
1.8561615943908691,1.9124089479446411,1579387234.333001
1.8499119281768799,1.9124089479446411,1579387234.406842
1.8561615943908691,1.8749107122421265,1579387234.474969
1.8749107122421265,1.8561615943908691,1579387234.505755
1.8749107122421265,1.8749107122421265,1579387234.573097
1.8874101638793945,1.8436622619628906,1579387234.646764
1.8874101638793945,1.9249083995819092,1579387234.714606
1.8999096155166626,1.9124089479446411,1579387234.74561
1.9561569690704346,1.8749107122421265,1579387234.812935
2.012404203414917,1.8936598300933838,1579387234.887042
1.968656301498413,1.9249083995819092,1579387234.954491
1.9561569690704346,2.012404203414917,1579387234.985568
1.8749107122421265,2.0249037742614746,1579387235.053271
